fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,brand,model,price
3,998,3,5,0,27,2,89,3500,65,5500,Maruti,Alto K10,491000
3,1462,4,5,0,48,8,136,4400,101,6000,Maruti,Brezza,1097500
1,2184,4,4,0,57,8,300,2800,130,3750,Mahindra,Thar,1478000
1,2198,4,7,0,60,8,450,2800,182,3500,Mahindra,XUV700,1888000
1,2198,4,7,0,57,8,400,2750,172,3500,Mahindra,Scorpio-N,1794500
1,2755,4,7,0,80,8,500,2800,201,3400,Toyota,Fortuner,4098500
1,1493,4,5,0,50,8,250,2750,113,4000,Hyundai,Creta,1431000
3,1199,3,5,0,37,8,113,3400,84,6000,Tata,Punch,771000
1,1498,3,7,2,60,8,210,2200,74,3600,Mahindra,Bolero,979500
3,1197,4,5,0,37,2,113,4400,88,6000,Maruti,Swift,738500
1,1497,4,5,0,44,8,260,2750,108,4000,Tata,Nexon,1084000
3,998,3,5,0,45,8,172,4000,118,6000,Hyundai,Venue,1012500
1,1493,4,5,0,50,8,250,2750,113,4000,Kia,Seltos,1457000
1,1997,4,5,0,54,8,416,2750,183,4000,Hyundai,Tucson,3112000
1,1956,4,5,0,50,8,350,2500,167,3750,Tata,Harrier,1845000
3,1197,4,5,0,37,2,113,4400,88,6000,Maruti,Baleno,810000
1,2393,4,8,0,55,5,360,2600,148,3400,Toyota,Innova Crysta,2220000
3,1462,4,7,0,45,5,136,4400,101,6000,Maruti,Ertiga,1057000
1,1493,4,5,0,45,8,250,2750,113,4000,Kia,Sonet,1064000
3,1197,4,5,0,37,9,113,4400,88,6000,Maruti,Dzire,771000
3,1497,4,5,2,40,9,145,4600,117,6600,Honda,City 4th Generation,975000
3,4367,8,7,0,90,8,700,3000,345,4000,Land,Rover Range Rover,32800000
0,1199,3,5,2,60,2,95,3500,72,6000,Tata,Tiago,661000
3,998,3,5,0,37,2,171,4000,118,6000,Hyundai,i20,928500
1,1497,4,5,0,42,8,300,2500,115,3750,Mahindra,XUV300,1124000
1,1956,4,5,2,60,8,350,2500,167,3750,MG,Hector,1713000
1,1497,4,5,2,37,2,200,3000,88,4000,Tata,Altroz,827500
1,2184,4,7,2,60,8,300,2800,130,3750,Mahindra,Scorpio Classic,1374000
1,1493,4,5,0,45,9,250,2750,113,4000,Hyundai,Verna,1243000
3,1199,3,5,2,30,2,190,1750,108,5500,Citroen,C3,688500
1,1498,4,5,2,40,9,200,1750,97,3600,Honda,City,1354500
3,998,3,5,0,32,2,89,3500,65,5500,Maruti,Celerio,612500
3,999,3,5,0,40,8,152,4400,98,5000,Nissan,Magnite,838000
3,999,3,5,0,28,2,91,4250,67,5500,Renault,KWID,531500
3,4997,4,7,0,89,8,650,2500,296,4000,Land,Rover Defender,14986000
0,796,3,5,2,60,2,60,3500,40,6000,Maruti,Alto 800,421000
2,0,0,5,1,0,8,395,0,134,0,Hyundai,Kona Electric,2393500
0,1199,3,5,2,60,9,95,3500,72,6000,Tata,Tigor,729500
3,999,3,5,0,40,8,152,4400,98,5000,Renault,Kiger,830500
3,998,3,5,0,27,2,89,3500,65,5500,Maruti,S-Presso,512000
3,1349,3,5,0,45,8,220,3600,138,5600,MG,Astor,1417500
3,3996,8,5,0,75,8,850,4500,641,6000,Lamborghini,Urus,32900000
1,1498,4,5,0,35,9,160,1750,79,3600,Honda,Amaze,906500
3,999,3,7,0,40,5,96,3500,71,6250,Renault,Triber,721500
1,1493,4,7,0,50,8,250,2750,113,4000,Hyundai,Alcazar,1807000
3,998,3,5,2,37,9,172,4000,98,6000,Hyundai,Aura,748000
3,1498,4,5,0,45,9,250,3500,147,6000,Volkswagen,Virtus,1457000
3,1498,4,5,0,45,9,250,3500,147,6000,Skoda,Slavia,1469000
3,1197,4,5,0,32,2,113,4200,81,6000,Maruti,Ignis,653500
1,1950,4,5,0,0,8,400,2600,187,3800,Mercedes-Benz,GLA,4690000
3,1969,4,7,0,68,3,640,1740,400,0,Volvo,XC90,9527500
3,1498,4,5,0,50,8,250,3500,147,6000,Skoda,Kushaq,1539000
3,1462,4,6,0,45,5,136,4400,101,6000,Maruti,XL6,1292000
3,1998,4,5,0,0,8,400,3000,268,5250,Jeep,Wrangler,5835000
3,1196,4,7,2,65,6,85,3000,61,6000,Maruti,Eeco,528500
1,2596,4,4,2,63,8,250,2400,89,3200,Force,Gurkha,1449000
3,1462,4,5,0,48,8,138,4400,103,6000,Maruti,S-Cross,1093500
3,1462,4,5,0,43,9,138,4400,103,6000,Maruti,Ciaz,1048500
0,1086,4,5,2,60,2,85,4501,59,5500,Hyundai,Santro,566000
3,1498,4,5,0,50,8,250,3500,147,6000,Volkswagen,Taigun,1500000
1,2993,6,7,0,80,8,760,3000,394,4400,BMW,X7,14800000
3,2995,6,7,0,0,8,500,4500,335,6400,Audi,Q7,8528500
3,2494,4,7,0,58,5,198,4000,115,4700,Toyota,Vellfire,9260000
1,2755,4,5,0,80,7,500,2800,201,3400,Toyota,Hilux,3539500
1,1996,4,7,0,75,8,480,2400,215,4000,MG,Gloster,3550000
3,6498,12,2,0,90,1,720,6750,759,8500,Lamborghini,Aventador,76250000
1,1995,4,5,0,51,8,400,2500,187,6000,BMW,X1,4300000
3,2998,6,5,0,0,8,450,5200,335,6500,BMW,X5,8790000
3,2498,4,5,0,0,9,221,5200,175,5700,Toyota,Camry,4435000
3,1984,4,5,0,60,8,320,4100,187,6000,Volkswagen,Tiguan,3279500
3,6750,12,5,0,0,9,820,1500,563,5250,Rolls-Royce,Ghost,74500000
3,1984,4,5,0,50,9,320,3990,187,6000,Skoda,Octavia,2835000
3,1984,4,5,0,66,9,320,4200,187,6000,Skoda,Superb,3504000
3,1984,4,5,0,73,9,370,4500,241,6500,Audi,A6,6299000
3,1969,4,5,0,54,8,300,0,187,0,Volvo,XC40,4450000
2,0,0,5,1,0,8,605,0,320,0,Kia,EV6,6245000
3,1969,4,5,0,60,9,350,0,246,0,Volvo,S90,6590000
3,1199,4,5,0,40,2,110,4800,88,6000,Honda,Jazz,916500
3,1997,4,5,0,82,8,365,4000,246,5500,Land,Rover Range Rover Velar,8941000
1,1498,4,5,2,40,8,200,1750,97,3600,Honda,WR-V,1071000
3,1998,5,5,0,70,8,440,3000,246,4000,Volvo,XC60,6590000
3,1984,4,7,0,58,8,320,4100,187,6000,Skoda,Kodiaq,3874000
3,1998,4,5,0,54,9,320,4200,187,6000,Audi,A4,4654500
3,1998,4,5,0,0,8,350,4800,248,5200,BMW,X3,6490000
3,2998,6,2,0,52,0,500,4500,335,6500,BMW,Z4,7840000
3,1998,4,5,0,59,9,400,4400,254,5000,BMW,3 Series Gran Limousine,5790000
3,1330,4,5,0,50,8,254,1600,153,5500,Nissan,Kicks,1220000
1,1497,4,8,2,45,5,300,2500,120,3500,Mahindra,Marazzo,1430500
1,1993,4,5,0,0,9,550,2200,261,4200,Mercedes-Benz,C-Class,5800000
3,2998,6,5,0,83,4,450,5200,335,6500,BMW,X6,10400000
1,2157,4,7,0,70,8,420,2600,178,3800,Mahindra,Alturas G4,3188000
0,216,1,4,2,35,2,16,4000,10,5500,Bajaj,Qute (RE60),361000
3,999,3,5,0,55,9,175,4000,108,5500,Volkswagen,Vento,1222000
3,1984,4,5,2,0,8,370,4300,245,6000,Audi,Q5,6272500
3,3855,8,2,0,80,1,760,5750,611,7500,Ferrari,Roma,37600000
2,0,0,5,1,0,8,280,0,173,0,MG,ZS EV,2394000
