fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,brand,model,price
Petrol,998,3,5,Automatic,27,Hatchback,89,3500,65,5500,Maruti,Alto K10,491000
Petrol,1462,4,5,Automatic,48,SUV,136,4400,101,6000,Maruti,Brezza,1097500
Diesel,2184,4,4,Automatic,57,SUV,300,2800,130,3750,Mahindra,Thar,1478000
Diesel,2198,4,7,Automatic,60,SUV,450,2800,182,3500,Mahindra,XUV700,1888000
Diesel,2198,4,7,Automatic,57,SUV,400,2750,172,3500,Mahindra,Scorpio-N,1794500
Diesel,2755,4,7,Automatic,80,SUV,500,2800,201,3400,Toyota,Fortuner,4098500
Diesel,1493,4,5,Automatic,50,SUV,250,2750,113,4000,Hyundai,Creta,1431000
Petrol,1199,3,5,Automatic,37,SUV,113,3400,84,6000,Tata,Punch,771000
Diesel,1498,3,7,Manual,60,SUV,210,2200,74,3600,Mahindra,Bolero,979500
Petrol,1197,4,5,Automatic,37,Hatchback,113,4400,88,6000,Maruti,Swift,738500
Diesel,1497,4,5,Automatic,44,SUV,260,2750,108,4000,Tata,Nexon,1084000
Petrol,998,3,5,Automatic,45,SUV,172,4000,118,6000,Hyundai,Venue,1012500
Diesel,1493,4,5,Automatic,50,SUV,250,2750,113,4000,Kia,Seltos,1457000
Diesel,1997,4,5,Automatic,54,SUV,416,2750,183,4000,Hyundai,Tucson,3112000
Diesel,1956,4,5,Automatic,50,SUV,350,2500,167,3750,Tata,Harrier,1845000
Petrol,1197,4,5,Automatic,37,Hatchback,113,4400,88,6000,Maruti,Baleno,810000
Diesel,2393,4,8,Automatic,55,MUV,360,2600,148,3400,Toyota,Innova Crysta,2220000
Petrol,1462,4,7,Automatic,45,MUV,136,4400,101,6000,Maruti,Ertiga,1057000
Diesel,1493,4,5,Automatic,45,SUV,250,2750,113,4000,Kia,Sonet,1064000
Petrol,1197,4,5,Automatic,37,Sedan,113,4400,88,6000,Maruti,Dzire,771000
Petrol,1497,4,5,Manual,40,Sedan,145,4600,117,6600,Honda,City 4th Generation,975000
Petrol,4367,8,7,Automatic,90,SUV,700,3000,345,4000,Land,Rover Range Rover,32800000
CNG,1199,3,5,Manual,60,Hatchback,95,3500,72,6000,Tata,Tiago,661000
Petrol,998,3,5,Automatic,37,Hatchback,171,4000,118,6000,Hyundai,i20,928500
Diesel,1497,4,5,Automatic,42,SUV,300,2500,115,3750,Mahindra,XUV300,1124000
